,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Atlanta,,,,,,1,0.5,0.5,1,1,5,,,,1,3,5,1,1,1
Boston,,,,,,1,3,30,5,15,1,5,3,5,5,1,1,,1,5
Brooklyn,,,,,,,,,1,1,3,1,1,,,,1,3,1,
Charlotte,,,,,,0.5,,,,0.5,,,,,,1,,1,,
Chicago,,,,,,,0.5,0.5,0.5,1,,,,,1,,3,1,3,1
Cleveland,,,,,,5,3,3,1,0.5,,,,15,15,30,15,,,
Detroit,,,,,,3,1,,,,,,1,,,1,,,,
Indiana,,,,,,,15,5,,,,1,1,1,1,1,,5,5,3
Miami,,,,,,0.5,1,1,15,5,1,15,,1,,3,,15,30,30
Milwaukee,,,,,,,1,1,1,3,30,3,5,1,1,,1,,1,
New York,,,,,,30,5,3,3,,1,,,,,,,,3,1
Orlando,,,,,,1,1,1,,,,1,1,,,,,,,1
Philadelphia,,,,,,3,,1,3,3,3,1,3,3,,,,,,3
Toronto,,,,,,1,,,0.5,1,,3,30,3,3,5,1,1,,
Washington,,,,,,,,,,,1,,,1,3,,3,3,,
Dallas,,,,,,,0.5,15,,5,1,1,,,,1,1,1,,1
Denver,,,,,,1,3,3,30,1,3,5,3,,,,,,1,1
Golden State,,,,,,0.5,3,0.5,3,30,,,15,30,30,15,30,1,3,
Houston,,,,,,1,1,,,,,3,3,5,3,1,5,1,1,
LA Clippers,,,,,,0.5,1,1,1,0.5,5,3,1,,1,1,3,3,1,3
LA Lakers,,,,,,3,1,1,5,,1,30,,,,,,,1,3
Memphis,,,,,,,1,,1,3,1,,,,1,1,3,1,5,1
Minnesota,,,,,,3,5,5,1,1,,,,1,,,,,,
New Orleans,,,,,,,,1,0.5,1,,,,3,,,1,,,
Oklahoma City,,,,,,5,30,3,0.5,,,1,1,1,1,5,,5,3,15
Phoenix,,,,,,1,,1,3,3,15,,,,,,,,,
Portland,,,,,,1,,,,,1,1,5,1,1,3,1,3,,
Sacramento,,,,,,,0.5,0.5,1,,,,,,,,,,,
San Antonio,,,,,,15,,,,0.5,,,1,1,5,3,1,30,30,5
Utah,,,,,,,,,,1,3,1,1,3,3,,,,,1
,,,,,,,,,,,,,,,,,,,,
Finals,,,,,,NYK,OKC,BOS,DEN,GSW,MIL,LAL,TOR,GSW,GSW,CLE,GSW,SAS,MIA,MIA
,,,,,,SAS,IND,DAL,MIA,BOS,PHX,MIA,GSW,CLE,CLE,GSW,CLE,MIA,SAS,OKC
NBA Cup,,,,,,NYK,MIL,LAL,,,,,,,,,,,,
,,,,,,SAS,OKC,IND,,,,,,,,,,,,
