,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Illinois,1,30,,,,,,11,1,7,2,7,3,4,10,8,1,3,5,6
Indiana,2,20,,,,,,6,3,2,8,4,1,8,6,3,6,1,1,2
Iowa,3,15,,,,,,3,4,3,2,5,6,6,4,8,2,7,8,9
Maryland,4,14,,,,,,14,11,1,1,2,6,9,4,6,3,,,
Michigan,5,13,,,,,,6,4,6,5,3,2,3,2,5,3,4,5,10
Michigan State,6,12,,,,,,12,8,7,12,11,11,8,9,6,3,6,7,5
Minnesota,7,11,,,,,,16,8,10,13,13,3,1,3,1,9,4,4,6
Nebraska,8,10,,,,,,8,2,4,8,1,3,10,1,2,8,2,2,4
Northwestern,9,9,,,,,,12,13,13,8,10,9,12,7,12,10,9,9,11
Ohio State,10,8,,,,,,17,7,11,11,6,6,7,11,3,7,7,2,6
Oregon,11,7,,,,,,1,3,6,4,2,8,,,,,,,
Penn State,12,6,,,,,,8,7,12,6,9,13,13,13,8,12,11,11,3
Purdue,13,5,,,,,,15,6,9,7,12,12,2,8,13,13,10,10,1
Rutgers,14,4,,,,,,8,12,5,2,8,10,11,12,11,11,,,
Southern California,15,3,,,,,,4,4,4,11,8,9,,,,,,,
UCLA,16,2,,,,,,1,11,7,3,4,1,,,,,,,
Washington,17,1,,,,,,5,9,3,7,10,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Champions x2,,,,,,,,,,Maryland,,,,Minnesota,,,,Indiana,Indiana,Purdue
Outright Champion,,8,,,,,,,Illinois,Maryland,Maryland,Nebraska,Indiana,Minnesota,Nebraska,Minnesota,Illinois,Indiana,Indiana,Purdue
B1G Tournament,,5,,,,,,Nebraska,Nebraska,Maryland,Michigan,,Ohio State,Minnesota,Iowa,Ohio State,Michigan,Indiana,Indiana,Purdue
