,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Air Force,,,,,,,,,0.5,,,,,,,,,
Akron,,,,,,,,,,,,,,,,,,
Alabama,,,,,,0.5,0.5,1,,0.5,,,,,,0.5,0.5,
Alabama State,,,,,,,,,0.5,,,,,0.5,,,,
Appalachian State,,,,,,,,,,,,,,,,,,0.5
Arizona,,,,,,3,0.5,0.5,0.5,0.5,,,0.5,0.5,,,,30
Arizona State,,,,,,0.5,,,,3,0.5,,,15,0.5,0.5,0.5,
Arkansas,,,,,,10,0.5,0.5,10,1,3,15,0.5,,3,0.5,0.5,10
Arkansas State,,,,,,,,,,,,,,,,,,
Army,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,,,,,0.5,0.5
Auburn,,,,,,1,,0.5,5,,3,1,0.5,,0.5,,,
Austin Peay,,,,,,,,,,,,,,,,,0.5,0.5
Ball State,,,,,,,,0.5,,,,,,,,,,
Baylor,,,,,,,,,,,0.5,0.5,0.5,,,,,1
Belmont,,,,,,,,,,,,,,,,,,0.5
Bethune Cookman,,,,,,0.5,,,,,,,0.5,0.5,,0.5,,0.5
Binghamton,,,,,,0.5,,,0.5,,,,,0.5,,0.5,0.5,
Boston College,,,,,,,,0.5,,,,,,1,,,,
Bowling Green,,,,,,,,,,,,,,,,,0.5,
Bradley,,,,,,,,,,,,,,,0.5,,,
Brigham Young,,,,,,,,,,,,,0.5,,,,,
Bryant,,,,,,,0.5,,,,,,,0.5,,0.5,0.5,
Bucknell,,,,,,,,,,,,,,,,0.5,,
Butler,,,,,,,,,,,,,,,,,,
Cal Poly,,,,,,0.5,,,,,,,,,,0.5,0.5,
Cal State Bakersfield,,,,,,,,,,,,,,,0.5,,,
Cal State Fullerton,,,,,,,,0.5,,,,1,3,0.5,3,0.5,1,0.5
California,,,,,,,,,,,0.5,,,,0.5,,,
Campbell,,,,,,,,0.5,0.5,0.5,0.5,0.5,,,,0.5,,
Canisius,,,,,,,,,0.5,,,0.5,,,0.5,,0.5,
Central Arkansas,,,,,,,,,,,,,,,,,0.5,
Central Connecticut,,,,,,0.5,,0.5,,0.5,0.5,,0.5,,,,,
Central Florida,,,,,,,0.5,,,,,,0.5,,,,,0.5
Central Michigan,,,,,,,,,0.5,0.5,0.5,,,,,,,
