Raw NCAA,Formatted
Abilene Christian,Abilene Christian
AFAAir Force,Air Force
Air Force,Air Force
AKRAkron,Akron
Akron,Akron
ALAAlabama,Alabama
Alabama,Alabama
Alabama A&M,Alabama A&M
Alabama St.,Alabama State
Alas. Anchorage,Alaska Anchorage
Alaska-Anchorage,Alaska Anchorage
Anchorage,Alaska Anchorage
Alas. Fairbanks,Alaska Fairbanks
Alaska,Alaska Fairbanks
Albany,Albany
UAlbany,Albany
Alcorn,Alcorn State
Alcorn St.,Alcorn State
American,American
American Int'l,American International
App State,Appalachian State
App. St.,Appalachian State
Appalachian St.,Appalachian State
APPAppalachian State,Appalachian State
ARIZArizona,Arizona
Arizona,Arizona
Arizona St.,Arizona State
Arizona State,Arizona State
ASUArizona State,Arizona State
Arkansas,Arkansas
ARKArkansas,Arkansas
Ark.-Pine Bluff,Arkansas Pine Bluff
Arkansas Pine Bluff,Arkansas Pine Bluff
Arkansas St.,Arkansas State
ARSTArkansas State,Arkansas State
Army,Army
Army West Point,Army
ARMYArmy,Army
AUBAuburn,Auburn
Auburn,Auburn
Augustana,Augustana
Augustana (SD),Augustana
Austin Peay,Austin Peay
Ball St.,Ball State
BALLBall State,Ball State
BAYBaylor,Baylor
Baylor,Baylor
Bellarmine,Bellarmine
Belmont,Belmont
Bemidji St.,Bemidji State
Bemidji State,Bemidji State
Bentley,Bentley
Bethune Cookman,Bethune Cookman
Bethune-Cookman,Bethune Cookman
Binghamton,Binghamton
BOISBoise State,Boise State
Boise St.,Boise State
BCBoston College,Boston College
Boston Coll.,Boston College
Boston College,Boston College
Boston U.,Boston University
Boston University,Boston University
BGSU,Bowling Green
BGSUBowling Green,Bowling Green
Bowling Green,Bowling Green
Bradley,Bradley
BYU,Brigham Young
BYUBYU,Brigham Young
Brown,Brown
Bryant,Bryant
Bucknell,Bucknell
Buffalo,Buffalo
BUFFBuffalo,Buffalo
BUTButler,Butler
Butler,Butler
Cal Baptist,Cal Baptist
California Baptist,Cal Baptist
Cal Poly,Cal Poly
Cal St. Bakersfield,Cal State Bakersfield
CSU Bakersfield,Cal State Bakersfield
Cal St. Fullerton,Cal State Fullerton
Cal State Fullerton,Cal State Fullerton
Cal St. Northridge,Cal State Northridge
CSUN,Cal State Northridge
CALCalifornia,California
California,California
Campbell,Campbell
Canisius,Canisius
Central Ark.,Central Arkansas
Central Arkansas,Central Arkansas
Central Conn. St.,Central Connecticut
Central Connecticut,Central Connecticut
UCF,Central Florida
UCFUCF,Central Florida
Central Mich.,Central Michigan
Central Michigan,Central Michigan
CMU,Central Michigan
CMUCentral Michigan,Central Michigan
Charleston,Charleston
COFCCharleston,Charleston
Col. of Charleston,Charleston
College of Charleston,Charleston
Charleston So.,Charleston Southern
Charleston Southern,Charleston Southern
Charlotte,Charlotte
CLTCharlotte,Charlotte
Chattanooga,Chattanooga
Chicago St.,Chicago State
CINCincinnati,Cincinnati
Cincinnati,Cincinnati
Clarkson,Clarkson
CLEMClemson,Clemson
Clemson,Clemson
Cleveland St.,Cleveland State
CCUCoastal Carolina,Coastal Carolina
Coastal Caro.,Coastal Carolina
Coastal Carolina,Coastal Carolina
Colgate,Colgate
COLOColorado,Colorado
Colorado,Colorado
Colorado Col.,Colorado College
Colorado College,Colorado College
Colorado St,Colorado State
Colorado St.,Colorado State
CSUColorado State,Colorado State
Columbia,Columbia
Connecticut,Connecticut
ConnecticutUConn,Connecticut
CONNUConn,Connecticut
UConn,Connecticut
Coppin St.,Coppin State
Cornell,Cornell
CREICreighton,Creighton
Creighton,Creighton
Dallas Baptist,Dallas Baptist
DBU,Dallas Baptist
Dartmouth,Dartmouth
Davidson,Davidson
DAYDayton,Dayton
Dayton,Dayton
Delaware,Delaware
Delaware St.,Delaware State
Denver,Denver
DePaul,DePaul
DEPDePaul,DePaul
Detroit,Detroit Mercy
Detroit Mercy,Detroit Mercy
Drake,Drake
Drexel,Drexel
Duke,Duke
DUKEDuke,Duke
Duquesne,Duquesne
East Carolina,East Carolina
ECU,East Carolina
ECUEast Carolina,East Carolina
East Tennessee St.,East Tennessee State
ETSU,East Tennessee State
East Texas A&M,East Texas A&M
Tex. A&M-Commerce,East Texas A&M
Texas A&M Commerce,East Texas A&M
Texas A&M Commerce,East Texas A&M
Eastern Ill.,Eastern Illinois
Eastern Illinois,Eastern Illinois
Eastern Kentucky,Eastern Kentucky
Eastern Ky.,Eastern Kentucky
Eastern Mich.,Eastern Michigan
Eastern Michigan,Eastern Michigan
EMU,Eastern Michigan
EMUEastern Michigan,Eastern Michigan
Eastern Wash.,Eastern Washington
Eastern Washington,Eastern Washington
Elon,Elon
Evansville,Evansville
Fairfield,Fairfield
Fairleigh Dickinson,Fairleigh Dickinson
FDU,Fairleigh Dickinson
Ferris St.,Ferris State
Ferris State,Ferris State
FLAFlorida,Florida
Florida,Florida
