,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13
Dallas,1,6,,,,,,2,3,1,2,1,2,2,1,2,1,4,1,2,3
NY Giants,2,3,,,,,,4,4,3,3,4,2,3,4,4,2,3,3,3,2
Philadelphia,3,2,,,,,,1,1,2,1,2,4,1,2,1,4,2,2,1,4
Washington,4,1,,,,,,3,2,4,4,3,1,4,3,3,3,1,4,4,1
Chicago,,,,,,,,1,4,3,4,3,2,3,1,4,4,4,4,2,3
Detroit,,,,,,,,3,1,1,2,4,4,4,4,2,2,3,2,3,4
Green Bay,,,,,,,,2,3,2,3,1,1,1,3,3,1,2,1,1,1
Minnesota,,,,,,,,3,2,3,1,2,3,2,2,1,3,1,3,4,2
Atlanta,,,,,,,,2,2,3,2,3,4,2,2,3,1,2,3,3,1
Carolina,,,,,,,,1,3,4,2,4,3,4,2,2,4,1,1,1,2
New Orleans,,,,,,,,4,3,2,2,2,1,1,1,1,3,3,2,2,3
Tampa Bay,,,,,,,,2,1,1,1,1,2,2,4,4,2,4,4,4,4
Arizona,,,,,,,,4,3,4,4,2,3,4,4,3,2,1,2,3,4
LA Rams,,,,,,,,2,1,2,3,1,2,3,1,1,3,3,4,4,3
San Francisco,,,,,,,,2,4,1,1,3,4,1,3,4,4,4,3,2,1
Seattle,,,,,,,,1,2,3,2,4,1,2,2,2,1,2,1,1,2
Buffalo,,,,,,,,2,1,1,1,1,1,2,3,2,3,3,2,4,4
Miami,,,,,,,,3,2,2,2,3,2,4,2,3,2,4,3,3,2
New England,,,,,,,,1,4,4,3,2,3,1,1,1,1,1,1,1,1
NY Jets,,,,,,,,4,3,3,4,4,4,3,4,4,4,2,4,2,3
Baltimore,,,,,,,,2,1,1,2,3,2,1,1,2,2,3,3,3,1
Cincinnati,,,,,,,,3,3,4,1,1,4,4,4,3,3,1,2,1,2
Cleveland,,,,,,,,4,4,2,4,3,2,3,3,4,4,4,4,4,4
Pittsburgh,,,,,,,,1,2,3,3,2,1,2,2,1,1,2,1,2,3
Houston,,,,,,,,2,1,1,4,3,3,1,1,3,1,1,2,4,1
Indianapolis,,,,,,,,3,2,2,3,2,2,3,2,3,3,2,1,1,2
Jacksonville,,,,,,,,1,3,2,1,4,4,4,4,1,4,3,3,3,4
Tennessee,,,,,,,,4,4,4,2,1,1,2,3,2,2,4,4,2,3
Denver,,,,,,,,1,3,2,4,4,4,2,3,4,3,1,1,1,1
Kansas City,,,,,,,,3,1,1,1,1,1,1,1,1,1,2,2,2,4
LA Chargers,,,,,,,,2,2,4,2,3,3,4,2,2,4,4,2,3,2
Las Vegas,,,,,,,,4,4,2,3,2,2,2,4,3,2,3,4,4,3
