,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13
Arizona,,,,,,,,,,1,,,,,,5,1,,
Atlanta,,,,,,,,,,,,,,3,15,,,,5
Carolina,,,,,,1,,,,,,,,1,,15,3,3,
Chicago,,,,,,3,,,,,1,,1,,,,,,
Dallas,,,,,,,,1,3,1,,,3,,3,,3,,
Detroit,,,,,,,3,5,,,,,,,1,,1,,
Green Bay,,,,,,1,1,3,,3,5,5,,,5,3,5,1,3
LA Rams,,,,,,5,3,1,,30,3,,15,1,,,,,
Minnesota,,,,,,,1,,1,,,3,,5,,1,,,1
New Orleans,,,,,,,,,,,3,1,5,3,,,,3,
NY Giants,,,,,,,,,3,,,,,,1,,,,
Philadelphia,,,,,,1,30,1,15,1,,1,3,30,,,,1,
San Francisco,,,,,,3,,15,5,5,,15,,,,,,5,15
Seattle,,,,,,30,,,1,,1,3,1,,3,3,15,30,3
Tampa Bay,,,,,,,1,3,1,3,30,,,,,,,,
Washington,,,,,,,5,,,,1,,,,,1,,,1
Baltimore,,,,,,,3,5,1,,3,3,1,,,,3,,30
Buffalo,,,,,,3,5,3,3,3,5,1,,1,,,,,
Cincinnati,,,,,,,,,5,15,,,,,,1,1,1,1
Cleveland,,,,,,,,1,,,3,,,,,,,,
Denver,,,,,,5,1,,,,,,,,,30,3,15,3
Houston,,,,,,3,3,3,,,,3,1,,3,1,,,3
Indianapolis,,,,,,,,,,,1,,3,,,,5,3,1
Jacksonville,,,,,,1,,,3,,,,,5,,,,,
Kansas City,,,,,,,15,30,30,5,15,30,5,1,3,3,,1,
LA Chargers,,,,,,1,1,,1,,,,3,,,,,3,
Las Vegas,,,,,,,,,,1,,,,,1,,,,
Miami,,,,,,,,1,1,,,,,,1,,,,
New England,,,,,,15,,,,1,,1,30,15,30,5,30,5,5
NY Jets,,,,,,,,,,,,,,,,,,,
Pittsburgh,,,,,,1,1,1,,1,1,,,3,5,3,1,,
Tennessee,,,,,,,,,,3,1,5,,3,,,,,
,,,,,,,,,,,,,,,,,,,
Super Bowl,,,,,,SEA,PHI,KC,KC,LAR,TB,KC,NE,PHI,NE,DEN,NE,SEA,BAL
,,,,,,NE,KC,SF,PHI,CIN,KC,SF,LAR,NE,ATL,CAR,SEA,DEN,SF
