,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Boston,1,12,,,,,,4,8,2,1,4,3,1,2,2,3,3,5,1,2,1
Buffalo,2,6,,,,,,1,7,6,5,5,8,6,6,8,8,7,8,8,5,3
Detroit,3,5,,,,,,6,6,5,7,6,7,8,7,5,7,3,3,4,3,3
Florida,4,4,,,,,,7,3,1,4,1,2,4,5,4,6,1,6,7,5,1
Montreal,5,3,,,,,,2,5,8,8,8,4,5,4,6,1,6,1,3,1,5
Ottawa,6,2,,,,,,5,4,7,6,7,6,7,8,7,2,5,4,5,4,2
Tampa Bay,7,1,,,,,,2,2,4,3,3,3,2,1,1,5,2,2,2,4,3
Toronto,8,0,,,,,,8,1,3,2,2,1,3,3,3,3,8,7,6,3,4
Carolina,,,,,,,,1,2,2,1,1,1,4,4,6,7,6,8,7,3,5
Columbus,,,,,,,,5,4,8,8,6,7,4,5,4,3,8,5,4,4,5
New Jersey,,,,,,,,7,3,7,2,7,7,8,8,4,8,7,7,6,5,4
NY Islanders,,,,,,,,6,6,3,4,5,4,6,2,7,5,4,2,8,3,5
NY Rangers,,,,,,,,8,5,1,3,2,5,7,7,8,4,3,1,2,2,1
Philadelphia,,,,,,,,2,8,6,7,8,6,2,6,3,6,5,6,3,4,3
Pittsburgh,,,,,,,,2,7,5,5,3,1,3,3,2,2,2,4,1,1,2
Washington,,,,,,,,4,1,4,6,4,2,1,1,1,1,1,2,5,1,2
Chicago,,,,,,,,8,8,8,8,7,6,7,6,7,1,3,3,3,1,4
Colorado,,,,,,,,1,3,3,1,1,1,2,5,4,7,6,7,1,5,3
Dallas,,,,,,,,2,2,1,2,4,5,3,4,6,6,1,6,5,5,4
Minnesota,,,,,,,,3,4,6,3,2,3,6,7,3,2,5,4,4,2,4
Nashville,,,,,,,,5,7,4,5,5,4,5,1,1,4,4,2,6,5,2
St. Louis,,,,,,,,5,5,5,6,3,4,1,2,5,3,2,1,2,2,1
Utah,,,,,,,,4,6,7,7,8,5,5,4,8,6,4,7,4,4,1
Winnipeg,,,,,,,,7,1,2,4,6,3,4,2,2,5,7,5,7,2,3
Anaheim,,,,,,,,3,6,7,8,7,8,6,6,2,1,1,1,1,1,5
Calgary,,,,,,,,7,4,5,5,1,5,3,1,5,4,5,3,6,4,2
Edmonton,,,,,,,,2,3,2,2,2,2,2,7,6,2,7,6,7,3,5
Los Angeles,,,,,,,,4,2,3,3,3,6,7,8,4,5,2,4,3,2,3
San Jose,,,,,,,,5,8,8,7,6,6,8,2,3,3,3,5,2,3,2
Seattle,,,,,,,,6,7,5,4,8,,,,,,,,,,
Vancouver,,,,,,,,8,5,1,6,5,7,4,5,7,7,6,2,5,1,1
Vegas,,,,,,,,1,1,4,1,4,2,1,3,1,,,,,,
