,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Boston,,,,,,1,,3,1,1,3,3,15,3,1,,,3,15,1
Buffalo,,,,,,3,,,,,,,,,,,,,,
Carolina,,,,,,30,5,3,5,3,3,1,5,,,,,,,
Columbus,,,,,,,,,,,,1,3,1,1,,,1,,
Detroit,,,,,,,,,,,,,,,,1,1,1,3,1
Florida,,,,,,,30,30,15,3,1,1,,,,1,,,,1
Montreal,,,,,,5,1,,,,15,1,,,1,,3,5,1,
New Jersey,,,,,,,1,,3,,,,,1,,,,,,15
NY Islanders,,,,,,,,1,1,,5,5,3,,,3,1,,1,
NY Rangers,,,,,,,,5,1,5,,1,,,3,1,5,15,3,5
Ottawa,,,,,,1,1,,,,,,,,5,,1,,3,1
Philadelphia,,,,,,3,,,,,,3,,1,,1,,1,,3
Pittsburgh,,,,,,1,,,,1,1,1,1,3,30,30,1,3,5,1
Tampa Bay,,,,,,1,1,1,1,15,30,30,1,5,,5,15,1,,
Toronto,,,,,,,3,1,3,1,1,1,1,1,1,,,,1,
Washington,,,,,,,3,1,,1,1,1,1,30,3,3,3,,1,3
Anaheim,,,,,,3,,,,,,,,1,5,1,5,3,1,
Calgary,,,,,,,,,,3,,1,1,,1,,3,,,
Chicago,,,,,,,,,,,,1,,,1,1,30,5,30,1
Colorado,,,,,,5,1,3,1,30,3,3,3,1,,,,1,,
Dallas,,,,,,1,5,5,5,1,,15,3,,,3,,1,,
Edmonton,,,,,,1,15,15,3,5,1,1,,,3,,,,,
Los Angeles,,,,,,1,1,1,1,1,,,,1,,1,,30,5,30
Minnesota,,,,,,3,1,,1,1,1,1,,1,1,1,3,3,1,
Nashville,,,,,,,,1,,1,1,1,1,3,15,3,1,,,3
San Jose,,,,,,,,,,,,,5,3,1,15,,1,3,1
Seattle,,,,,,,,,3,,,,,,,,,,,
St. Louis,,,,,,,1,,,3,1,1,30,,3,5,1,1,1,3
Utah,,,,,,1,,,,,,1,,,,,,,,5
Vancouver,,,,,,,,3,,,,3,,,,,1,,1,1
Vegas,,,,,,15,3,1,30,,5,5,1,15,,,,,,
Winnipeg,,,,,,,3,1,1,,3,1,1,5,,,1,,,
,,,,,,,,,,,,,,,,,,,,
Stanley Cup,,,,,,CAR,FLA,FLA,VGK,COL,TB,TB,STL,WAS,PIT,PIT,CHI,LA,CHI,LA
,,,,,,VGK,EDM,EDM,FLA,TB,MON,DAL,BOS,VGK,NAS,SJ,TB,NYR,BOS,NJ
