season,name,value
2026,Xelaju,0.5
2026,Vancouver,1
2026,Universidad O&M,0.5
2026,Toluca,30
2026,Tigres,15
2026,Sporting San Miguelito,0.5
2026,Seattle,3
2026,San Diego,1
2026,Real Espana,0.5
2026,Pumas,0.5
2026,Philadelphia,1
2026,Olimpia,0.5
2026,Nashville,5
2026,Mount Pleasant FA,1
2026,Monterrey,1
2026,Los Angeles,5
2026,LA Galaxy,3
2026,Inter Miami,1
2026,Hamilton,0.5
2026,Defense Force FC,0.5
2026,Cruz Azul,3
2026,Club America,3
2026,Cincinnati,1
2026,Cartaginés,0.5
2026,Atlético Ottawa,0.5
2026,Alajuelense,1
