season,name,value
2026,Yale,0.5
2026,West Virginia,10
2026,Washington State,0.5
2026,Wake Forest,0.5
2026,Virginia Tech,0.5
2026,Virginia,0.5
2026,VCU,0.5
2026,USC Upstate,0.5
2026,UCLA,0.5
2026,UC Santa Barbara,0.5
2026,Troy,5
2026,The Citadel,0.5
2026,Texas State,0.5
2026,Texas A&M,0.5
2026,Texas,5
2026,Tennessee,0.5
2026,Tarleton State,0.5
2026,St. John's,1
2026,Southern Miss,0.5
2026,Southern California,1
2026,South Dakota State,0.5
2026,Saint Mary's,0.5
2026,Rider,0.5
2026,Oregon State,0.5
2026,Oregon,1
2026,Ole Miss,3
2026,Oklahoma State,0.5
2026,Oklahoma,30
2026,Northern Illinois,0.5
2026,Northeastern,0.5
2026,North Carolina State,0.5
2026,North Carolina,15
2026,Nebraska,0.5
2026,Missouri State,0.5
2026,Mississippi State,1
2026,Milwaukee,0.5
2026,Miami,0.5
2026,Louisiana,0.5
2026,Long Island,0.5
2026,Little Rock,1
2026,Lipscomb,0.5
2026,Liberty,0.5
2026,Lamar,0.5
2026,Kentucky,0.5
2026,Kansas,1
2026,Jacksonville State,0.5
2026,Illinois Chicago,0.5
2026,Holy Cross,0.5
2026,Georgia Tech,0.5
2026,Georgia,10
2026,Florida State,0.5
2026,Florida,0.5
2026,East Carolina,0.5
2026,Coastal Carolina,0.5
2026,Cincinnati,0.5
2026,Central Florida,0.5
2026,Cal Poly,1
2026,Boston College,0.5
2026,Binghamton,0.5
2026,Auburn,1
2026,Arkansas,0.5
2026,Arizona State,0.5
2026,Alabama State,0.5
2026,Alabama,3
